ID;SYGIC_TRAVEL_ID;RATING;LATITUDE;LONGITUDE;NAME;MARKER;PEREX;THUMBNAIL_URL;CATEGORIES;DS_SUMMARY;DS_ICON;DS_APPARENT_TEMPERATURE_LOW;DS_DEW_POINT;DS_HUMIDITY;DS_PRESSURE;DS_WIND_SPEED;DS_WIND_GUST;DS_CLOUD_COVER;DS_VISIBILITY
11;poi:47856;0.048150801997549;54.6008536;-5.9243781;Albert Memorial Clock;sightseeing:landmark;The Albert Memorial Clock is a clock tower situated at Queen's Square in Belfast                                                                                                                                                                                                  ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:47856;sightseeing;Light rain until afternoon.;rain;57.45;48.14;0.83;1020.9;10.92;27.97;0.98;7
12;poi:7587;0.042395245244799;54.6095319;-5.9421769;Crumlin Road Gaol;other:building:convention_centre;HMP Belfast                                                                                                                                                                                                                                                                ,also known as Crumlin Road Gaol                                                                                                                                                                                                                                     ,is a former prison situated on the Crumlin Road in north Belfast                                                                                                                                                                   ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:7587;discovering                                                                                                                         ,sightseeing;Light rain until afternoon.;rain;57.45;48.14;0.83;1020.88;10.72;27.9;0.98;7
13;poi:3977841;0.039904774762084;55.1677527;-6.8109594;Mussenden Temple;other:place_of_worship:temple;;https://media-cdn.sygictraveldata.com/media/poi:3977841;sightseeing;Light rain in the morning.;rain;54.89;47.43;0.87;1020.0;9.01;29.68;0.91;9
14;poi:56003;0.038760548934179;54.7997441;-5.8319369;Glenoe Waterfall;hiking:park:nature;Enjoy a walk up the narrow path and marvel at this charming waterfall with crystal clear water                                                                                                                                                                                           ,situated in the hills just outside the…;https://media-cdn.sygictraveldata.com/media/poi:56003;hiking                                                                                                                                                                ,sightseeing;Light rain until afternoon.;rain;55.41;47.86;0.86;1020.99;13.09;29.83;0.97;7
15;poi:64250;0.036519911080323;54.5922063;-5.9617411;Falls Road;sightseeing:art:artwork;The Falls Road is the main road through west Belfast                                                                                                                                                                                                                                      ,Northern Ireland                                                                                                                                                                                                                                                    ,running from Divis Street in Belfast city centre to Andersonstown…;https://media-cdn.sygictraveldata.com/media/poi:64250;discovering                                                                                               ,sightseeing;Light rain until afternoon.;rain;57.78;48.15;0.83;1020.86;10.45;27.68;0.98;7
16;poi:55995;0.035073834432114;55.2017849;-6.5207306;Old Bushmills Distillery;sightseeing:distillery;The Old Bushmills Distillery is a distillery in Bushmills                                                                                                                                                                                                                    ,County Antrim                                                                                                                                                                                                                                                       ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:55995;eating                                                                                                                                                     ,sightseeing;Light rain in the morning.;rain;55.96;47.61;0.87;1020.27;10.2;30.96;0.92;9
17;poi:47858;0.028807102193011;54.5946685;-5.9341122;Crown Liquor Saloon;going_out:bar;The Crown Liquor Saloon                                                                                                                                                                                                                                                                    ,also known as the Crown Bar                                                                                                                                                                                                                                         ,is a pub in Great Victoria Street in Belfast                                                                                                                                                                                       ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:47858;going_out                                                                                                                          ,sightseeing;Light rain until afternoon.;rain;57.5;48.14;0.83;1020.89;10.78;27.88;0.98;7
18;poi:47857;0.02865004443392;54.5811162;-5.9316869;Botanic Gardens;hiking:park:nature;Botanic Gardens is a public garden in Belfast                                                                                                                                                                                                                                              ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:47857;hiking                                                                                                                                                                                      ,relaxing                                                                                                                                                                                                                           ,discovering;Light rain until afternoon.;rain;57.41;48.15;0.84;1020.89;10.78;27.83;0.98;7
19;poi:47859;0.02762001038362;54.5953762;-5.934782;Grand Opera House;going_out:opera;The Grand Opera House is a theatre in Belfast                                                                                                                                                                                                                                                ,Northern Ireland                                                                                                                                                                                                                                                    ,designed by the most prolific theatre architect of the period                                                                                                                                                                      ,Frank…;https://media-cdn.sygictraveldata.com/media/poi:47859;going_out                                                                                                                                     ,sightseeing;Light rain until afternoon.;rain;57.51;48.14;0.83;1020.89;10.78;27.88;0.98;7
20;poi:8278;0.02577677111981;55.0212813;-7.9847115;Glenveagh National Park;hiking:park:national;Glenveagh is the second largest national park in Ireland. National parks in Ireland conform to IUCN standards.;https://media-cdn.sygictraveldata.com/media/poi:8278;hiking;Light rain in the morning.;rain;53.42;45.78;0.86;1019.15;7.65;28.99;0.81;9
21;poi:55999;0.025717735497327;54.9942412;-7.3208558;Walled City;sightseeing:city_wall;Built in early 17th century                                                                                                                                                                                                                                                                ,these these fortifications are the youngest between European city walls and therefore today the most complete.;https://media-cdn.sygictraveldata.com/media/poi:55999;sightseeing;Light rain in the morning.;rain;54.96;46.83;0.84;1019.62;6.45;27.35;0.87;9
22;poi:56004;0.024257508840381;54.7134248;-5.8062477;Carrickfergus Castle;discovering:museum;Visit this Norman castle dating back to the 12th century                                                                                                                                                                                                                             ,and marvel at its rather well preserved medieval structure                                                                                                                                                                                                          ,marked by a long…;https://media-cdn.sygictraveldata.com/media/poi:56004;discovering                                                                                                                                                ,hiking                                                                                                                                                                                                     ,sightseeing;Light rain until afternoon.;rain;56.41;47.99;0.84;1021.01;12.84;29.32;0.97;7
23;poi:7612;0.022508698855456;54.166667;-6.083333;Mourne Mountains;hiking:mountains;The Mourne Mountains                                                                                                                                                                                                                                                                          ,also called the Mournes or Mountains of Mourne                                                                                                                                                                                                                      ,are a granite mountain range in County Down in the south-east of…;https://media-cdn.sygictraveldata.com/media/poi:7612;hiking                                                                                                      ,sightseeing;Rain until afternoon.;rain;50.21;47.01;1.0;1020.77;11.77;27.98;0.96;6
24;poi:16142;0.020623854089508;54.3729686;-5.5787741;Castle Ward;sightseeing:castle;Learn about life in the Victorian era at this splendorous mansion. Note how Gothic clashes with Classical style here.;https://media-cdn.sygictraveldata.com/media/poi:16142;hiking                                                                                                            ,sightseeing;Light rain and breezy until afternoon.;rain;52.87;47.8;0.89;1021.26;14.92;30.26;0.97;8
25;poi:56002;0.0205161491359;54.966179;-5.956241;Glenarm Castle;relaxing:park:garden;First built in 1636                                                                                                                                                                                                                                                                          ,this beautiful castle is the home of Viscount and Viscountess Dunluce and their family                                                                                                                                                                              ,and thus it is open to the…;https://media-cdn.sygictraveldata.com/media/poi:56002;hiking                                                                                                                                           ,sightseeing                                                                                                                                                                                                ,relaxing;Light rain until afternoon.;rain;54.87;47.67;0.87;1020.87;12.59;30.63;0.97;7
26;poi:7659;0.019279392819556;54.5822855;-5.9353252;Ulster Museum;discovering:museum;A large museum                                                                                                                                                                                                                                                                               ,with collection raging from arts to sciences. Prefers a hands-on approach - entertaining for both adults and children.;https://media-cdn.sygictraveldata.com/media/poi:7659;discovering;Light rain until afternoon.;rain;57.41;48.15;0.84;1020.89;10.74;27.81;0.98;7
27;poi:7698;0.019075503248117;54.1802564;-5.9207109;Slieve Donard;hiking:park:nature;Slieve Donard is the highest mountain in Northern Ireland and the wider province of Ulster                                                                                                                                                                                                   ,with a height of 850 metres.;https://media-cdn.sygictraveldata.com/media/poi:7698;hiking;Rain and breezy until afternoon.;rain;41.4;44.12;1.0;1020.94;13.1;28.71;0.97;6
28;poi:5692309;0.018178534091662;55.0238248;-7.427699;Grianan of Aileach;sightseeing:archaeological_site;;https://media-cdn.sygictraveldata.com/media/poi:5692309;sightseeing;Light rain in the morning.;rain;53.24;46.69;0.9;1019.53;6.48;27.58;0.84;10
29;poi:3167858;0.017749125233588;54.7810549;-5.7080941;Gobbins Visitor Centre;sightseeing;The Gobbins is a cliff-face path at Islandmagee                                                                                                                                                                                                                                         ,County Antrim                                                                                                                                                                                                                                                       ,Northern Ireland                                                                                                                                                                                                                   ,on the Causeway Coastal Route.;https://media-cdn.sygictraveldata.com/media/poi:3167858;sightseeing;Light rain until afternoon.;rain;55.19;47.73;0.84;1021.11;14.4;30.28;0.96;7
30;poi:7815;0.017190151251399;54.2585692;-7.8130913;Marble Arch Caves;hiking:cave;The Marble Arch Caves are a series of natural limestone caves located near the village of Florencecourt in County Fermanagh                                                                                                                                                                     ,Northern…;https://media-cdn.sygictraveldata.com/media/poi:7815;hiking                                                                                                                                                                                               ,sightseeing;Rain in the morning.;rain;55.15;46.28;0.87;1019.45;4.71;25.68;0.87;8
31;poi:56000;0.016388206813766;55.1258273;-6.0416651;Cushendun;destination:village;Cushendun is a small coastal village in County Antrim                                                                                                                                                                                                                                          ,Northern Ireland. It sits off the A2 coast road between Cushendall and Ballycastle.;https://media-cdn.sygictraveldata.com/media/poi:56000;relaxing                                                                                                                  ,sightseeing;Light rain in the morning.;rain;54.4;47.5;0.87;1020.78;13.77;32.14;0.94;8
32;poi:3374577;0.016107190662892;55.2383854;-6.4479454;Dunseverick Castle;sightseeing:castle:ruins;;https://media-cdn.sygictraveldata.com/media/poi:3374577;hiking                                                                                                                                                                                                                ,sightseeing;Mostly cloudy throughout the day.;partly-cloudy-day;54.33;47.59;0.87;1020.34;11.07;31.55;0.92;8
33;poi:56010;0.015116237657311;54.6063532;-5.9111461;SS Nomadic;discovering:museum;This steamship is not only old more than a hundred years                                                                                                                                                                                                                                       ,but it is also the last White Star Line ship in the world.;https://media-cdn.sygictraveldata.com/media/poi:56010;discovering                                                                                                                                        ,sightseeing;Light rain until afternoon.;rain;57.09;48.13;0.84;1020.91;11.09;28.09;0.98;7
34;poi:3652586;0.014881600960455;54.8813871;-6.0973573;Slemish;hiking:mountains:peak;Slemish                                                                                                                                                                                                                                                                                      ,historically called Slieve Mish                                                                                                                                                                                                                                     ,is a small mountain in County Antrim                                                                                                                                                                                               ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:3652586;hiking                                                                                                                           ,sightseeing;Light rain in the morning.;rain;51.25;47.71;0.99;1020.72;10.56;29.17;0.98;7
35;poi:56012;0.014798159500867;54.60469;-5.832297;Parliament Buildings                                                                                                                                                                                                                                                                                                            ,Stormont;sightseeing;Parliament Buildings                                                                                                                                                                                                                           ,often referred to as Stormont because of its location in the Stormont Estate area of Belfast                                                                                                                                       ,is the seat of the…;https://media-cdn.sygictraveldata.com/media/poi:56012;sightseeing;Light rain until afternoon.;rain;55.79;48.12;0.86;1020.99;12.04;28.6;0.98;7
36;poi:15289145;0.014589161306721;55.2293931;-6.2912799;Kinbane Castle;sightseeing:ruins;;https://media-cdn.sygictraveldata.com/media/poi:15289145;hiking                                                                                                                                                                                                                         ,sightseeing;Overcast throughout the day.;cloudy;53.64;47.63;0.88;1020.5;12.3;32.17;0.92;8
37;poi:3668139;0.014536525815623;54.7669043;-5.6889689;Blackhead Lighthouse;sightseeing:lighthouse;Blackhead Lighthouse is a listed lighthouse built at the turn of the 20th century                                                                                                                                                                                              ,near Whitehead in County Antrim                                                                                                                                                                                                                                     ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:3668139;sightseeing;Light rain until afternoon.;rain;55.33;47.72;0.83;1021.13;14.41;30.2;0.96;8
38;poi:10484737;0.013888606811581;55.0362032;-7.9685937;Glenveagh Castle;sightseeing:castle;;https://media-cdn.sygictraveldata.com/media/poi:10484737;hiking                                                                                                                                                                                                                      ,sightseeing;Light rain in the morning.;rain;54.25;45.85;0.83;1019.16;7.76;28.89;0.8;9
39;poi:18695039;0.013849866199127;54.6135388;-5.9027993;HMS Caroline;sightseeing:ship;;https://media-cdn.sygictraveldata.com/media/poi:18695039;sightseeing;Light rain until afternoon.;rain;56.85;48.12;0.84;1020.92;11.21;28.18;0.98;7
40;poi:3815925;0.013480769230769;54.8254699;-7.4632849;Gray's Printing Press;sightseeing:monument;;https://media-cdn.sygictraveldata.com/media/poi:3815925;sightseeing;Light rain in the morning.;rain;56.25;46.53;0.83;1019.56;5.84;26.52;0.82;9
41;poi:21635351;0.012242160812378;54.5961232;-5.9309131;Cenotaph;sightseeing:memorial:war;;https://media-cdn.sygictraveldata.com/media/poi:21635351;sightseeing;Light rain until afternoon.;rain;57.48;48.14;0.83;1020.89;10.83;27.91;0.98;7
42;poi:8287;0.012065964858384;54.6092372;-7.8717917;Saint Patrick's Basilica;other:place_of_worship;St Patrick's Purgatory is an ancient pilgrimage site on Station Island in Lough Derg                                                                                                                                                                                          ,County Donegal                                                                                                                                                                                                                                                      ,Ireland.;https://media-cdn.sygictraveldata.com/media/poi:8287;sightseeing;Light rain in the morning.;rain;53.14;45.96;0.87;1019.37;5.34;26.11;0.8;8
43;poi:3932590;0.011528846153846;54.2964313;-7.6413172;Sheelin Lace Museum;discovering:museum;;;discovering                                                                                                                                                                                                                                                                       ,sightseeing;Rain in the morning.;rain;56.72;46.43;0.82;1019.55;4.75;25.57;0.85;8
44;poi:20490923;0.011437462985851;55.124288;-6.037223;Caves of Cushendun;hiking:cave;;https://media-cdn.sygictraveldata.com/media/poi:20490923;sightseeing;Light rain in the morning.;rain;54.42;47.5;0.86;1020.79;13.8;32.14;0.94;8
45;poi:17548026;0.011258485356025;54.3462287;-7.6445328;Enniskillen Castle;sightseeing:castle;Enniskillen Castle is situated in Enniskillen                                                                                                                                                                                                                                       ,County Fermanagh                                                                                                                                                                                                                                                    ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:17548026;hiking                                                                                                                                                  ,sightseeing;Light rain in the morning.;rain;56.47;46.38;0.83;1019.54;4.75;25.55;0.84;8
46;poi:56796;0.011141538347559;54.2626302;-5.8453874;Dundrum Castle;sightseeing:castle;Dundrum Castle is a castle                                                                                                                                                                                                                                                                 ,situated above the town of Dundrum                                                                                                                                                                                                                                  ,County Down                                                                                                                                                                                                                        ,Northern Ireland                                                                                                                                                                                           ,not to be confused with Dundrum Castle in…;https://media-cdn.sygictraveldata.com/media/poi:56796;hiking                                                         ,sightseeing;Rain until afternoon.;rain;54.93;47.94;0.89;1021.01;12.95;28.73;0.98;6
47;poi:3728593;0.011117716303708;54.9003967;-5.8516977;Polar Bear;sightseeing;;;sightseeing;Light rain in the morning.;rain;52.22;47.66;0.9;1020.97;13.68;30.73;0.96;7
48;poi:3889854;0.011086350152902;54.1111853;-6.279721;Narrow Water Keep;sightseeing:castle;;https://media-cdn.sygictraveldata.com/media/poi:3889854;hiking                                                                                                                                                                                                                        ,sightseeing;Rain until afternoon.;rain;56.67;48.34;0.88;1020.57;10.42;27.98;0.93;6
49;poi:56199;0.011061771410218;54.5974004;-5.9199198;Waterfront Hall;sightseeing:architecture:modern;Belfast Waterfront is a multi-purpose conference and entertainment centre                                                                                                                                                                                                    ,in Belfast                                                                                                                                                                                                                                                          ,Northern Ireland                                                                                                                                                                                                                   ,designed by local architects' firm…;https://media-cdn.sygictraveldata.com/media/poi:56199;sightseeing                                                                                                      ,going_out;Light rain until afternoon.;rain;57.38;48.14;0.83;1020.9;10.96;27.99;0.98;7
50;poi:56024;0.010638963512599;54.6011823;-5.9213734;Lagan Weir;sightseeing;The Lagan Weir                                                                                                                                                                                                                                                                                        ,completed in 1994 at a cost of £14m                                                                                                                                                                                                                                 ,is located in Belfast                                                                                                                                                                                                              ,Northern Ireland and crosses the River Lagan between the Queen…;https://media-cdn.sygictraveldata.com/media/poi:56024;sightseeing;Light rain until afternoon.;rain;57.4;48.14;0.83;1020.9;10.95;28.0;0.98;7
51;poi:56027;0.010442900581223;54.5402583;-5.9501665;Giants Ring;hiking:park:nature;The Giant's Ring is a henge monument at Ballynahatty                                                                                                                                                                                                                                          ,near Shaw's Bridge                                                                                                                                                                                                                                                  ,Belfast                                                                                                                                                                                                                            ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:56027;hiking                                                                                                                             ,sightseeing;Light rain until afternoon.;rain;57.27;48.18;0.84;1020.87;10.47;27.5;0.98;7
52;poi:8016;0.010381314190102;54.6566956;-5.9432235;Belfast Zoo;discovering:zoo;Belfast Zoological Gardens is a zoo in Belfast                                                                                                                                                                                                                                                    ,Northern Ireland. It is located in a relatively secluded location on the northeastern slope…;https://media-cdn.sygictraveldata.com/media/poi:8016;hiking                                                                                                            ,discovering                                                                                                                                                                                                                        ,playing;Light rain until afternoon.;rain;55.56;48.1;0.88;1020.88;10.82;28.13;0.98;7
53;poi:56001;0.010224183896587;55.0194326;-6.1173499;Glenariff Forest Park;sleeping:camp_site;Glenariff Forest Park is an 1185 hectare forest in County Antrim                                                                                                                                                                                                                    ,Northern Ireland. It is part of Glenariff glen itself.;https://media-cdn.sygictraveldata.com/media/poi:56001;hiking                                                                                                                                                 ,sleeping;Light rain in the morning.;rain;52.22;47.7;0.95;1020.69;11.24;30.36;0.97;7
54;poi:56005;0.0099612535521549;54.3477796;-6.6561846;Saint Patrick's Cathedral (Church of Ireland);other:place_of_worship:church;St Patrick's Cathedral                                                                                                                                                                                                                          ,Armagh is the seat of the Archbishop of Armagh in the Church of Ireland. It is located in Armagh                                                                                                                                                                    ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:56005;sightseeing;Light rain in the morning.;rain;57.03;48.06;0.88;1020.2;7.58;27.9;0.88;8
55;poi:55994;0.0095106889354277;55.2198043;-6.5426003;Portballintrae Beach;relaxing:beach:sandy;Portballintrae is a small seaside village in County Antrim                                                                                                                                                                                                                        ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:55994;relaxing                                                                                                                                                                                    ,hiking;Light rain in the morning.;rain;54.12;47.57;0.88;1020.25;10.31;31.01;0.92;9
56;poi:64244;0.0093190747123733;54.9939151;-7.3230308;Saint Columb's Cathedral;other:place_of_worship:church:cathedral;;https://media-cdn.sygictraveldata.com/media/poi:64244;sightseeing;Light rain in the morning.;rain;55.14;46.83;0.83;1019.62;6.45;27.36;0.87;9
57;poi:3808289;0.0092894384885272;54.6037452;-5.9142551;SSE Arena;sightseeing;The SSE Arena is a sports and entertainment complex located within the Titanic Quarter in Belfast                                                                                                                                                                                                   ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:3808289;sightseeing;Light rain until afternoon.;rain;57.24;48.13;0.83;1020.91;11.05;28.06;0.98;7
58;poi:25715761;0.009184917832771;54.6136524;-6.4178304;Lough Neagh;sightseeing:ruins;Lough Neagh is a large freshwater lake in Northern Ireland. It is the largest lake by area in the British Isles                                                                                                                                                                             ,with a surface area of 151…;https://media-cdn.sygictraveldata.com/media/poi:25715761;hiking;Light rain in the morning.;rain;54.2;48.18;0.92;1020.38;8.8;27.82;0.9;8
59;poi:56033;0.0089912642746528;54.2644415;-5.9555315;Castlewellan Castle;sightseeing:castle;;https://media-cdn.sygictraveldata.com/media/poi:56033;hiking                                                                                                                                                                                                                        ,sightseeing;Rain until afternoon.;rain;54.46;47.91;0.92;1020.91;11.81;27.6;0.98;6
60;poi:7769;0.0086824370475377;54.555;-5.608;Mount Stewart;sightseeing;Mount Stewart is a 19th-century house and garden in County Down                                                                                                                                                                                                                                            ,Northern Ireland                                                                                                                                                                                                                                                    ,owned by the National Trust.;https://media-cdn.sygictraveldata.com/media/poi:7769;sightseeing;Light rain until afternoon.;rain;55.06;47.89;0.85;1021.22;14.2;29.75;0.97;8
61;poi:3331524;0.0085822533054815;54.4580531;-7.8053766;Tully Castle;sightseeing:castle;;https://media-cdn.sygictraveldata.com/media/poi:3331524;hiking                                                                                                                                                                                                                           ,sightseeing;Light rain in the morning.;rain;54.36;46.12;0.85;1019.44;4.79;25.69;0.81;8
62;poi:56029;0.0083193829495584;54.4612894;-6.0859311;Hillsborough Castle;discovering:museum;;https://media-cdn.sygictraveldata.com/media/poi:56029;discovering                                                                                                                                                                                                                   ,hiking                                                                                                                                                                                                                                                              ,sightseeing;Light rain until afternoon.;rain;56.07;48.19;0.87;1020.73;9.84;27.06;0.96;7
63;poi:3731775;0.0081397731884623;54.2907319;-5.7258859;Ballynoe Stone Circle;hiking:megalith;;https://media-cdn.sygictraveldata.com/media/poi:3731775;sightseeing;Light rain and breezy until afternoon.;rain;53.4;47.96;0.9;1021.13;13.97;29.72;0.98;7
64;poi:64242;0.0074248332097262;54.9957518;-7.3268509;Free Derry Corner;sightseeing:monument;Free Derry Corner is a historical landmark in the Bogside neighbourhood of Derry                                                                                                                                                                                                     ,Northern Ireland                                                                                                                                                                                                                                                    ,which lies in the intersection of the…;https://media-cdn.sygictraveldata.com/media/poi:64242;sightseeing;Light rain in the morning.;rain;55.31;46.82;0.83;1019.61;6.45;27.37;0.86;10
65;poi:64243;0.0073392572428991;54.9973349;-7.3208566;Tower Museum;discovering:museum;The Tower Museum is a museum on local history in Derry                                                                                                                                                                                                                                      ,County Londonderry                                                                                                                                                                                                                                                  ,Northern Ireland.;https://media-cdn.sygictraveldata.com/media/poi:64243;discovering                                                                                                                                                ,sightseeing;Light rain in the morning.;rain;54.94;46.83;0.84;1019.62;6.46;27.37;0.87;9
66;poi:18438152;0.0071680459739418;54.7274907;-6.2679222;Shane's Castle;sightseeing:castle:ruins;;https://media-cdn.sygictraveldata.com/media/poi:18438152;sightseeing                                                                                                                                                                                                            ,hiking;Light rain in the morning.;rain;55.38;48.17;0.9;1020.55;9.32;27.67;0.96;7
67;poi:3837731;0.0071385960254253;54.3795542;-5.5720534;Audley's Castle;sightseeing:castle;;https://media-cdn.sygictraveldata.com/media/poi:3837731;hiking                                                                                                                                                                                                                        ,sightseeing;Light rain and breezy until afternoon.;rain;52.65;47.8;0.89;1021.27;14.96;30.27;0.97;8
68;poi:3211940;0.0071153579980428;55.2333883;-6.5167174;Giants Causeway Information Centre;sightseeing;;;sightseeing;Mostly cloudy throughout the day.;partly-cloudy-day;54.23;47.57;0.88;1020.27;10.52;31.21;0.92;9
69;poi:56006;0.0069533137373677;54.3526338;-6.6590293;Saint Patrick's Cathedral (Roman Catholic);other:place_of_worship:church:cathedral;;https://media-cdn.sygictraveldata.com/media/poi:56006;sightseeing;Light rain in the morning.;rain;57.09;48.06;0.88;1020.19;7.57;27.9;0.88;8
70;poi:7589;0.0069509517097645;54.6540999;-5.8018093;Ulster Folk & Transport Museum;discovering:museum;The Ulster Folk and Transport Museum is situated in Cultra                                                                                                                                                                                                                 ,Northern Ireland                                                                                                                                                                                                                                                    ,about 11 kilometres east of the city of Belfast.;https://media-cdn.sygictraveldata.com/media/poi:7589;discovering;Light rain until afternoon.;rain;54.98;48.06;0.86;1021.02;12.63;29.06;0.97;7
71;poi:56795;0.0069343412601787;54.3276457;-5.7214898;Down Cathedral;sightseeing;Down Cathedral                                                                                                                                                                                                                                                                                   ,the Cathedral Church of the Holy and Undivided Trinity                                                                                                                                                                                                              ,is a Church of Ireland cathedral located in the town of Downpatrick…;https://media-cdn.sygictraveldata.com/media/poi:56795;sightseeing;Light rain and breezy until afternoon.;rain;53.71;47.99;0.9;1021.13;13.79;29.59;0.98;7
72;poi:56038;0.0068248167903416;54.7015828;-6.9367032;Beaghmore Stone Circles;sightseeing:archaeological_site;Beaghmore is a complex of early Bronze Age megalithic features                                                                                                                                                                                                      ,stone circles and cairns                                                                                                                                                                                                                                            ,8.5 miles north west of Cookstown                                                                                                                                                                                                  ,County Tyrone…;https://media-cdn.sygictraveldata.com/media/poi:56038;hiking                                                                                                                                ,sightseeing;Light rain in the morning.;rain;55.18;47.33;0.9;1019.97;7.0;28.31;0.92;8
